id,title,year,rating,genre,director,overview,cast
872906,Jawan,2023.0,7.3,"Action, Thriller",Atlee,"An emotional journey of a prison warden, driven by a personal vendetta while keeping up to a promise made years ago, recruits inmates to commit outrageous crimes that shed light on corruption and injustice, in an attempt to get even with his past,  and that leads him to an unexpected reunion.","Shah Rukh Khan, Nayanthara, Vijay Sethupathi, Deepika Padukone, Sanjay Dutt"
554600,Uri: The Surgical Strike,2019.0,7.2,"Action, Drama, War",Aditya Dhar,"Following the roguish terrorist attacks at Uri Army Base camp in Kashmir, India takes the fight to the enemy, in its most successful covert operation till date with one and only one objective of avenging their fallen heroes.","Vicky Kaushal, Paresh Rawal, Yami Gautam Dhar, Kirti Kulhari, Mohit Raina"
781732,Animal,2023.0,7.4,"Action, Crime, Drama",Sandeep Reddy Vanga,The hardened son of a powerful industrialist returns home after years abroad and vows to take bloody revenge on those threatening his father's life.,"Ranbir Kapoor, Rashmika Mandanna, Anil Kapoor, Bobby Deol, Triptii Dimri"
975533,The Archies,2023.0,7.1,"Comedy, Drama, Music, Romance",Zoya Akhtar,"Set in 1960s India, Archie and the gang navigate romance, friendship and the future of Riverdale as developers threaten to destroy a beloved park.","Agastya Nanda, Suhana Khan, Khushi Kapoor, Mihir Ahuja, Vedang Raina"
734253,Adipurush,2023.0,5.3,"Action, Adventure, Fantasy",Om Raut,"7000 years ago, Ayodhya's Prince Raghava and Prince Sesh along with the Mighty Vanar Warriors travels to the island of Lanka with an aim to rescue Raghava's wife Janaki, who has been abducted by Lankesh, the king of Lanka.","Prabhas, Saif Ali Khan, Kriti Sanon, Sunny Singh, Devdatta Nage"
19404,Dilwale Dulhania Le Jayenge,1995.0,8.5,"Comedy, Drama, Romance",Aditya Chopra,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.","Kajol, Shah Rukh Khan, Amrish Puri, Farida Jalal, Anupam Kher"
20453,3 Idiots,2009.0,8.0,"Drama, Comedy",Rajkumar Hirani,"Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.","Aamir Khan, R. Madhavan, Sharman Joshi, Kareena Kapoor Khan, Boman Irani"
720557,Tiger 3,2023.0,5.9,"Action, Adventure, Thriller",Maneesh Sharma,"Following the events of Tiger Zinda Hai, War, and Pathaan, Avinash Singh Rathore returns as Tiger but this time the battle is within. He has to choose between his country or family as an old enemy is after his life, who claims that his family was killed by Tiger. He holds Tiger captive in Pakistan as the Indian agent's loyalty towards his country faces its biggest test.","Salman Khan, Katrina Kaif, Emraan Hashmi, Simran, Revathi"
10757,Kabhi Khushi Kabhie Gham,2001.0,7.7,"Comedy, Drama",Karan Johar,"Years after his father disowns his adopted brother for marrying a woman of lower social standing, a young man goes on a mission to reunite his family.","Amitabh Bachchan, Shah Rukh Khan, Hrithik Roshan, Kajol, Jaya Bachchan"
26022,My Name Is Khan,2010.0,8.1,"Drama, Romance",Karan Johar,"Rizwan Khan, a Muslim from the Borivali section of Mumbai, has Asperger's syndrome. He marries a Hindu single mother, Mandira, in San Francisco. After 9/11, Rizwan is detained by authorities at LAX who treat him as a terrorist because of his condition and his race.","Shah Rukh Khan, Kajol, Arjan Aujla, Jimmy Shergill, Sonya Jehan"
1211409,Kya Masti Kya Dhoom,2023.0,0.0,Comedy,Chandrakant Singh,,"Abhishek Bajaj, Musskan Sethi, Anant Vidhaat Sharma, Eshanya Maheshwari, Sanjay Mishra"
7508,Like Stars on Earth,2007.0,8.0,Drama,Aamir Khan,"Ishaan Awasthi is an eight-year-old whose world is filled with wonders that no one else seems to appreciate. Colours, fish, dogs, and kites don't seem important to the adults, who are much more interested in things like homework, marks, and neatness. Ishaan cannot seem to get anything right in class; he is then sent to boarding school, where his life changes forever.","Darsheel Safary, Aamir Khan, Tisca Chopra, Vipin Sharma, Tanay Chheda"
864692,Pathaan,2023.0,6.6,"Action, Adventure, Thriller",Siddharth Anand,"A soldier caught by enemies and presumed dead comes back to complete his mission, accompanied by old companions and foes.","Shah Rukh Khan, Deepika Padukone, John Abraham, Dimple Kapadia, Ashutosh Rana"
4251,Veer-Zaara,2004.0,7.4,"Drama, Romance",Yash Chopra,"Squadron Leader Veer Pratap Singh, a pilot in the Indian Air Force, rescues the stranded Zaara, a woman from Pakistan, following a bus accident, and their lives are forever bound.","Shah Rukh Khan, Preity Zinta, Rani Mukerji, Kirron Kher, Divya Dutta"
